               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12184,            0.073831,             0.04843,          0.00058789,           0.0046296,          0.00039337,          3.9337e-05,             0.12775,            0.054386,            0.048142,              0.0955,              0.0005,              0.0005
                   1,             0.11821,            0.074731,            0.046059,           0.0021959,            0.023148,           0.0015546,          0.00031683,             0.11916,            0.061984,            0.042925,            0.090089,           0.0010891,           0.0010891
                   2,             0.10952,            0.091679,            0.043227,            0.005386,            0.083333,           0.0070851,           0.0016363,             0.10795,             0.07273,             0.03826,            0.084666,           0.0016663,           0.0016663
                   3,             0.10333,            0.096066,            0.039378,           0.0092366,             0.15741,            0.022384,           0.0069779,             0.10106,            0.078247,            0.035684,            0.079232,           0.0022317,           0.0022317
                   4,             0.09661,            0.097473,            0.036869,            0.063469,            0.056633,            0.042704,            0.012478,            0.096065,            0.079765,            0.031944,            0.073785,           0.0027852,           0.0027852
                   5,             0.09142,            0.098578,            0.032373,             0.80847,            0.064815,            0.059138,            0.017769,            0.090616,             0.08231,            0.027046,            0.068327,           0.0033267,           0.0033267
                   6,            0.088136,             0.09205,            0.028505,             0.69663,            0.078704,            0.017087,            0.007121,             0.09414,              0.1253,            0.023508,            0.062856,           0.0038565,           0.0038565
                   7,            0.084933,            0.083229,            0.025776,             0.73803,             0.11111,            0.038633,            0.011224,            0.085328,             0.15226,            0.023126,            0.057374,           0.0043743,           0.0043743
                   8,            0.081905,             0.08679,            0.026678,             0.71902,             0.19444,            0.057879,            0.015913,            0.088138,             0.12023,            0.022939,             0.05188,           0.0048802,           0.0048802
                   9,             0.08054,             0.07711,            0.021912,             0.79189,             0.17273,             0.14088,            0.037078,             0.07618,            0.091648,            0.021666,            0.046374,           0.0053743,           0.0053743
                  10,            0.075753,            0.081223,             0.02127,             0.72533,             0.13426,            0.055446,            0.017772,            0.080715,            0.094045,            0.020634,            0.040857,           0.0058565,           0.0058565
                  11,            0.074072,            0.078926,            0.022261,             0.74181,               0.125,            0.091484,            0.025604,            0.085727,            0.082207,            0.019518,            0.035327,           0.0063268,           0.0063268
                  12,            0.076169,            0.070961,            0.019155,              0.7737,             0.13576,             0.12579,            0.047012,            0.078701,            0.069707,            0.019074,            0.029785,           0.0067852,           0.0067852
                  13,            0.074045,             0.07634,            0.019561,             0.76407,             0.12037,             0.11254,            0.050189,            0.082643,            0.066328,            0.018967,            0.024232,           0.0072318,           0.0072318
                  14,            0.073474,            0.076323,            0.021418,             0.77774,             0.11574,             0.12505,             0.03791,             0.07287,            0.063455,            0.018696,            0.018666,           0.0076665,           0.0076665
                  15,            0.077486,            0.069891,             0.01932,             0.79404,             0.14815,             0.17202,            0.076373,            0.067589,            0.058154,            0.018299,            0.013089,           0.0080892,           0.0080892
                  16,            0.073274,            0.076137,            0.023043,             0.73055,             0.18056,              0.1215,            0.040495,            0.082851,            0.059748,            0.017936,            0.008416,            0.008416,            0.008416
                  17,            0.073524,            0.073822,             0.02255,             0.81273,             0.15278,             0.16988,            0.071058,            0.071936,            0.059437,            0.018522,            0.008416,            0.008416,            0.008416
                  18,            0.071185,            0.077503,            0.019009,             0.76847,             0.18056,             0.13443,            0.046103,            0.075134,            0.062921,            0.017827,            0.008317,            0.008317,            0.008317
                  19,            0.065321,            0.073759,            0.018939,              0.7944,             0.18122,             0.16724,            0.059491,            0.072843,            0.061842,            0.017454,            0.008218,            0.008218,            0.008218
                  20,            0.067788,            0.073367,            0.019263,             0.78248,             0.17593,             0.15859,            0.050062,             0.06606,            0.061113,            0.017036,            0.008119,            0.008119,            0.008119
                  21,            0.065573,            0.077054,            0.020521,              0.8489,             0.18428,             0.23847,            0.082272,            0.060303,            0.060533,            0.017025,             0.00802,             0.00802,             0.00802
                  22,            0.061708,            0.078775,            0.016506,             0.83259,             0.11932,             0.23184,             0.11963,            0.063587,            0.064799,            0.016793,            0.007921,            0.007921,            0.007921
                  23,            0.060936,            0.067384,             0.01822,             0.84419,               0.125,              0.1904,            0.072744,            0.065884,            0.059075,            0.016749,            0.007822,            0.007822,            0.007822
                  24,            0.062536,            0.071822,            0.016818,             0.85629,             0.22222,             0.29433,             0.14609,            0.052904,            0.058898,            0.016485,            0.007723,            0.007723,            0.007723
                  25,            0.058312,            0.070564,             0.01828,             0.84045,             0.23148,             0.24072,            0.086274,            0.056896,            0.059689,            0.016276,            0.007624,            0.007624,            0.007624
                  26,            0.056246,            0.064533,            0.015372,              0.7997,             0.22222,             0.21274,            0.098881,            0.058933,            0.058123,            0.016038,            0.007525,            0.007525,            0.007525
                  27,            0.057796,            0.065222,            0.015136,             0.43421,             0.68184,             0.32946,             0.15504,            0.053529,            0.058158,            0.015649,            0.007426,            0.007426,            0.007426
                  28,            0.054142,            0.072499,            0.013788,             0.42529,             0.70692,             0.39232,             0.17004,            0.056021,            0.058891,            0.015702,            0.007327,            0.007327,            0.007327
                  29,            0.052054,             0.06003,            0.017284,             0.22045,             0.71759,             0.33993,                0.13,            0.057001,            0.058361,            0.016451,            0.007228,            0.007228,            0.007228
                  30,            0.053674,             0.06966,            0.015191,             0.29409,             0.69335,             0.34569,             0.16874,            0.048575,            0.058737,            0.015836,            0.007129,            0.007129,            0.007129
                  31,            0.050574,            0.065428,            0.015524,             0.43359,             0.69366,             0.37693,             0.16097,            0.050235,            0.058278,            0.014439,             0.00703,             0.00703,             0.00703
                  32,             0.05118,            0.065059,            0.014328,             0.28964,             0.66667,             0.34947,             0.17282,            0.050354,            0.058779,             0.01417,            0.006931,            0.006931,            0.006931
                  33,             0.04948,            0.065721,            0.013841,              0.2722,             0.69444,             0.40501,             0.17133,            0.050351,              0.0582,             0.01436,            0.006832,            0.006832,            0.006832
                  34,            0.049965,            0.060454,             0.01172,               0.289,             0.77297,              0.4226,             0.18034,            0.049603,            0.058663,            0.014754,            0.006733,            0.006733,            0.006733
                  35,            0.047953,            0.067854,            0.012663,             0.32926,             0.86111,             0.47626,             0.20445,            0.048852,            0.058093,            0.014897,            0.006634,            0.006634,            0.006634
                  36,            0.047719,             0.06076,             0.01149,              0.3548,             0.86111,             0.49465,             0.23597,            0.047065,            0.055918,            0.014861,            0.006535,            0.006535,            0.006535
                  37,             0.04687,            0.060444,            0.012679,              0.3598,             0.80556,             0.53088,             0.23523,            0.048024,             0.05759,            0.014787,            0.006436,            0.006436,            0.006436
                  38,            0.051333,            0.062978,            0.012592,             0.31857,             0.85648,             0.45688,             0.16627,             0.05143,              0.0571,            0.015158,            0.006337,            0.006337,            0.006337
                  39,            0.047831,            0.060835,            0.010971,             0.33458,             0.87963,             0.50966,             0.23153,            0.048713,            0.058128,            0.016585,            0.006238,            0.006238,            0.006238
                  40,            0.049174,            0.065033,             0.01061,             0.43873,             0.90278,             0.61237,             0.29878,            0.044335,            0.057787,            0.016152,            0.006139,            0.006139,            0.006139
                  41,            0.046217,            0.059862,            0.011273,             0.48024,             0.86466,             0.57411,             0.28124,            0.045058,            0.057311,            0.014999,             0.00604,             0.00604,             0.00604
                  42,            0.045082,            0.059454,            0.011802,             0.49231,             0.85271,             0.57021,             0.24794,            0.044371,             0.05832,            0.015002,            0.005941,            0.005941,            0.005941
                  43,            0.044826,            0.063195,           0.0099581,             0.47706,             0.80863,             0.54046,             0.24715,            0.044525,            0.057321,            0.015028,            0.005842,            0.005842,            0.005842
                  44,            0.044596,            0.063654,            0.010712,             0.44536,             0.80137,             0.51381,             0.26359,            0.044291,            0.057027,            0.014982,            0.005743,            0.005743,            0.005743
                  45,             0.04501,            0.065345,            0.010807,             0.49043,             0.83902,             0.55949,             0.27512,            0.045211,            0.057013,            0.015032,            0.005644,            0.005644,            0.005644
                  46,            0.045888,            0.059651,           0.0097368,             0.50805,             0.82988,              0.5499,             0.25182,            0.043029,             0.05711,            0.015032,            0.005545,            0.005545,            0.005545
                  47,            0.043209,            0.060725,            0.011629,             0.44706,             0.79421,             0.54243,             0.24202,            0.043452,            0.057698,             0.01562,            0.005446,            0.005446,            0.005446
                  48,            0.043288,            0.060503,            0.010922,             0.71094,             0.60185,              0.6041,             0.35491,            0.042996,            0.057441,            0.015547,            0.005347,            0.005347,            0.005347
                  49,             0.04058,            0.056266,            0.010729,             0.63639,             0.60185,             0.68823,             0.47459,            0.044679,            0.059196,            0.015331,            0.005248,            0.005248,            0.005248
                  50,            0.042075,            0.059853,           0.0096945,             0.73582,             0.60648,             0.72638,             0.33134,            0.040865,            0.059338,            0.015022,            0.005149,            0.005149,            0.005149
                  51,            0.040158,            0.060116,            0.010316,             0.42234,             0.68981,             0.47662,             0.22121,            0.042777,            0.058949,            0.014142,             0.00505,             0.00505,             0.00505
                  52,            0.040881,            0.053251,           0.0098587,             0.49441,             0.71957,             0.52002,             0.31361,            0.042892,            0.059029,            0.013799,            0.004951,            0.004951,            0.004951
                  53,            0.041599,             0.06048,           0.0096842,             0.44532,             0.71759,             0.61411,             0.33608,            0.042414,            0.057592,            0.013784,            0.004852,            0.004852,            0.004852
                  54,            0.039934,            0.053286,            0.011246,             0.74612,             0.61953,             0.61807,             0.27858,            0.041477,            0.057273,            0.013932,            0.004753,            0.004753,            0.004753
                  55,            0.038701,            0.059844,           0.0091942,             0.75386,             0.61734,              0.6133,             0.32959,            0.042456,            0.057471,            0.013378,            0.004654,            0.004654,            0.004654
                  56,             0.04072,            0.055352,           0.0083087,             0.72008,             0.61736,             0.58121,             0.35756,            0.042285,            0.058059,            0.013137,            0.004555,            0.004555,            0.004555
                  57,            0.037653,            0.056697,            0.010571,             0.70144,             0.61574,             0.51341,              0.2982,            0.043647,            0.057679,            0.013351,            0.004456,            0.004456,            0.004456
                  58,              0.0403,            0.055815,            0.009846,             0.49416,             0.73289,             0.53829,             0.28938,            0.040499,            0.057031,             0.01365,            0.004357,            0.004357,            0.004357
                  59,            0.035517,            0.059362,           0.0097103,             0.78426,             0.60698,             0.60943,             0.31062,            0.041213,             0.05749,            0.013964,            0.004258,            0.004258,            0.004258
                  60,            0.038341,            0.055604,           0.0086017,             0.78871,             0.60988,              0.6105,             0.38272,            0.041558,            0.059438,            0.013706,            0.004159,            0.004159,            0.004159
                  61,            0.036879,            0.056359,            0.009183,             0.78631,             0.61564,             0.60388,             0.35906,            0.041357,            0.058659,             0.01344,             0.00406,             0.00406,             0.00406
                  62,            0.038012,            0.054734,           0.0086047,             0.78108,             0.62037,             0.60726,             0.37838,            0.041008,             0.05799,            0.013263,            0.003961,            0.003961,            0.003961
                  63,            0.036194,            0.053625,            0.010243,             0.54571,             0.73756,             0.60661,             0.34269,            0.040847,            0.058812,            0.012927,            0.003862,            0.003862,            0.003862
                  64,            0.037116,            0.055648,           0.0078127,             0.55371,             0.76476,              0.6159,              0.3676,            0.040017,            0.058246,            0.012718,            0.003763,            0.003763,            0.003763
                  65,            0.036083,            0.055604,           0.0097482,             0.57249,             0.77315,             0.60085,             0.37112,            0.041108,            0.060134,            0.012674,            0.003664,            0.003664,            0.003664
                  66,            0.037664,            0.055072,           0.0084169,             0.56097,             0.76852,             0.60139,             0.34013,             0.04008,            0.059166,            0.012564,            0.003565,            0.003565,            0.003565
                  67,            0.036199,            0.056454,            0.007079,             0.55833,             0.76852,              0.5224,             0.27341,            0.041378,            0.059861,            0.012591,            0.003466,            0.003466,            0.003466
                  68,            0.036897,            0.059348,           0.0070886,             0.54586,             0.77315,             0.51045,             0.29998,            0.039496,            0.059434,            0.012412,            0.003367,            0.003367,            0.003367
                  69,            0.035139,            0.052027,           0.0099984,             0.51163,             0.74074,             0.52628,             0.29774,             0.04077,            0.059936,            0.012458,            0.003268,            0.003268,            0.003268
                  70,            0.037538,            0.054986,            0.007834,             0.52484,             0.74074,             0.53488,             0.29435,            0.039841,            0.059807,            0.012884,            0.003169,            0.003169,            0.003169
                  71,            0.035689,            0.056022,           0.0084082,              0.5676,             0.73121,             0.61008,             0.31742,            0.040371,            0.059808,            0.013236,             0.00307,             0.00307,             0.00307
                  72,            0.036143,            0.050855,           0.0076692,             0.56664,             0.71207,             0.60219,             0.33036,            0.040171,            0.060719,            0.013304,            0.002971,            0.002971,            0.002971
                  73,            0.034006,            0.049396,           0.0089117,              0.5677,             0.71614,             0.61349,             0.35179,             0.04091,            0.061984,            0.013421,            0.002872,            0.002872,            0.002872
                  74,            0.034535,            0.052025,           0.0078763,             0.80022,             0.61664,             0.60606,             0.35881,            0.038479,            0.061931,            0.013539,            0.002773,            0.002773,            0.002773
                  75,            0.032744,            0.055572,           0.0080955,             0.57306,             0.75872,             0.59483,             0.35303,            0.039352,            0.061148,            0.013271,            0.002674,            0.002674,            0.002674
                  76,            0.034182,            0.053466,            0.008248,             0.57115,             0.76814,             0.59259,             0.33538,             0.03927,             0.06136,            0.013029,            0.002575,            0.002575,            0.002575
                  77,             0.03489,            0.058161,           0.0065326,             0.54047,             0.74537,             0.59293,             0.32857,            0.039753,            0.061337,            0.012632,            0.002476,            0.002476,            0.002476
                  78,            0.033498,            0.053385,           0.0072071,             0.52879,             0.74537,             0.60238,             0.36215,            0.038719,            0.061122,            0.012432,            0.002377,            0.002377,            0.002377
                  79,            0.032253,            0.049484,           0.0066052,             0.52414,             0.74747,             0.61108,             0.34539,            0.040464,            0.061638,            0.012169,            0.002278,            0.002278,            0.002278
                  80,            0.033244,            0.052998,           0.0066436,             0.52664,              0.7465,             0.61465,             0.37496,            0.038061,            0.060793,            0.011993,            0.002179,            0.002179,            0.002179
                  81,            0.032232,            0.050525,            0.007595,             0.56879,             0.77315,             0.62061,             0.35367,            0.039166,            0.060411,              0.0118,             0.00208,             0.00208,             0.00208
                  82,            0.033864,            0.052885,           0.0074637,             0.57268,             0.77315,              0.6214,             0.38173,            0.038064,            0.060022,            0.011661,            0.001981,            0.001981,            0.001981
                  83,            0.033146,            0.052943,           0.0068955,             0.58111,             0.77643,              0.6258,              0.3642,            0.038076,            0.059701,             0.01156,            0.001882,            0.001882,            0.001882
                  84,            0.031654,            0.053424,           0.0067292,             0.56169,             0.77315,             0.61701,             0.36305,            0.038255,            0.059843,            0.011456,            0.001783,            0.001783,            0.001783
                  85,            0.032962,            0.051674,           0.0079299,             0.56116,             0.77315,             0.61776,             0.36508,            0.038312,            0.060895,            0.011245,            0.001684,            0.001684,            0.001684
                  86,            0.032353,            0.050767,           0.0074521,             0.55358,             0.77315,             0.61799,             0.37807,            0.038088,            0.060913,            0.011193,            0.001585,            0.001585,            0.001585
                  87,            0.030879,            0.051153,           0.0063837,             0.55436,             0.77315,             0.61503,             0.38169,            0.037963,            0.061076,            0.011221,            0.001486,            0.001486,            0.001486
                  88,            0.031391,            0.055855,            0.008487,             0.55128,             0.77315,             0.61159,             0.35772,            0.038401,            0.060858,            0.011163,            0.001387,            0.001387,            0.001387
                  89,            0.031178,            0.052482,           0.0071772,             0.55408,             0.77315,             0.61759,             0.36993,            0.037652,            0.059876,            0.011178,            0.001288,            0.001288,            0.001288
                  90,            0.031203,            0.048922,           0.0079281,             0.55587,             0.77315,             0.62222,             0.38731,            0.038517,            0.060087,             0.01117,            0.001189,            0.001189,            0.001189
                  91,            0.030829,            0.054351,           0.0059301,             0.56244,             0.77315,             0.63088,             0.36934,            0.037949,             0.06024,            0.011181,             0.00109,             0.00109,             0.00109
                  92,            0.030838,            0.053359,           0.0068254,              0.5616,             0.77315,             0.63123,             0.37417,            0.038073,              0.0604,            0.011184,            0.000991,            0.000991,            0.000991
                  93,            0.029671,            0.048725,           0.0055022,             0.56493,             0.77315,             0.62267,             0.39009,            0.038109,            0.060618,            0.011178,            0.000892,            0.000892,            0.000892
                  94,            0.031193,            0.049433,           0.0074646,             0.56481,             0.77315,             0.61512,             0.37844,            0.038077,            0.060814,             0.01102,            0.000793,            0.000793,            0.000793
                  95,            0.031223,            0.053378,           0.0063675,             0.56713,             0.77315,             0.61463,             0.37837,            0.038068,            0.060811,            0.011134,            0.000694,            0.000694,            0.000694
                  96,            0.029229,            0.050365,           0.0070009,             0.56802,             0.77315,             0.62484,             0.38441,            0.038259,            0.060876,            0.011244,            0.000595,            0.000595,            0.000595
                  97,            0.029822,            0.050161,           0.0058284,             0.57024,             0.77315,             0.62499,             0.38959,             0.03776,            0.060861,            0.011321,            0.000496,            0.000496,            0.000496
                  98,            0.029657,            0.052525,           0.0059955,             0.57141,             0.77315,             0.62496,             0.38631,             0.03774,            0.060848,            0.011403,            0.000397,            0.000397,            0.000397
                  99,            0.030148,            0.053251,           0.0067649,             0.57181,             0.77315,             0.62668,             0.38492,            0.037749,            0.060797,            0.011415,            0.000298,            0.000298,            0.000298
